num_row,num_colum,num_track,max_delay,num_ipin_side1,num_ipin_side2,num_ipin_side3,num_otrack_side1,num_otrack_side2,num_otrack_side3,num_otrack_side4,num_itrack_side1,num_itrack_side2,num_itrack_side3,num_itrack_side4,area,throughput,ii,failtureRate
7,5,4,7,0,2,2,2,1,3,1,2,1,0,2,1275479.17,1.33,95.0,0.0
7,4,1,2,2,2,0,0,1,2,4,3,0,3,3,795271.7,1.1739,117.0,0.0
7,6,2,7,0,1,0,2,1,1,2,3,1,0,0,1230248.1799999992,1.36485,90.0,0.0
6,7,3,3,1,2,1,2,0,4,0,1,0,2,0,1163438.7200000004,1.30497,102.0,0.0
7,5,3,7,0,0,0,0,2,3,2,3,2,3,0,1230239.13,1.24946,95.0,0.0
4,6,4,2,1,2,1,2,2,1,4,2,4,2,1,821192.4800000002,0.806467,181.0,0.0
5,6,2,7,1,0,1,2,4,1,2,1,2,0,0,898064.4399999996,1.04002,115.0,0.0
4,5,1,6,2,0,1,3,4,2,3,3,0,1,3,585846.1000000001,0.815612,149.0,0.0
7,6,2,4,2,2,1,2,4,2,2,3,4,1,4,1322124.7999999998,1.65925,90.0,0.0
4,4,3,4,1,0,2,3,0,4,2,3,2,3,0,602090.0399999999,0.826853,158.0,0.0
4,4,1,7,2,2,1,2,0,2,0,3,3,4,4,531550.88,0.84189,154.0,0.0
5,5,3,7,1,2,1,1,1,4,2,2,2,1,3,927011.12,1.19401,115.0,0.0
5,6,2,5,0,0,2,1,4,4,2,0,1,1,1,860271.2399999996,1.10091,115.0,0.0
4,7,3,2,2,0,0,4,0,3,0,2,0,4,3,831281.7000000002,0.676053,162.0,0.777778
5,5,1,6,0,0,0,2,4,1,1,4,4,3,2,708318.07,1.04467,115.0,0.0
7,6,4,4,1,1,1,4,2,2,2,2,0,0,1,1364296.7199999997,1.3853,91.0,0.0
5,7,3,3,2,2,1,4,3,0,3,0,4,4,0,1077573.27,1.05838,120.0,0.0
7,4,1,4,1,2,2,1,2,1,3,2,1,2,0,861863.2999999999,1.3241,100.0,0.0
6,4,4,5,0,0,1,2,3,2,1,1,3,1,3,932205.2599999999,1.2437,113.0,0.0
7,5,3,7,2,2,0,3,2,0,0,1,0,1,2,1195512.0499999998,1.31292,95.0,0.0
6,7,2,7,0,2,1,0,1,4,2,4,2,3,3,1323177.5399999996,1.53323,90.0,0.0
6,4,3,7,2,2,0,4,0,4,0,1,4,1,4,947176.7999999997,1.29758,100.0,0.0
5,7,4,4,0,2,1,2,2,1,3,2,4,1,4,1217731.4100000001,1.15108,115.0,0.0
5,7,4,3,2,1,2,4,1,2,0,3,4,0,0,1132934.8299999998,0.997256,123.0,0.0
6,6,2,7,0,0,2,4,2,3,1,4,1,3,2,1152365.9599999995,1.30011,95.0,0.0
4,5,4,5,1,2,0,4,2,1,3,0,1,1,2,720807.7999999999,0.839907,150.0,0.0
4,4,3,5,0,2,2,0,0,3,1,2,0,0,1,557754.5199999999,0.727303,162.0,0.0
7,7,4,5,0,1,1,3,3,3,1,0,2,1,3,1623671.0299999998,1.55426,90.0,0.0
4,6,2,4,2,1,0,4,1,4,1,0,2,2,3,715194.2,0.92696,142.0,0.0
5,6,2,3,1,0,2,0,1,0,1,0,0,0,4,753313.46,0.608467,139.0,0.777778
7,5,4,4,0,0,2,4,3,1,2,1,4,4,1,1307460.83,1.26498,100.0,0.0
4,6,3,6,2,0,0,0,4,3,3,0,3,4,3,845835.2399999999,0.91504,140.0,0.0
6,5,1,5,2,0,2,2,3,2,3,2,1,2,3,878850.6599999997,1.24154,100.0,0.0
6,5,1,7,1,2,1,2,0,2,4,0,0,4,2,874716.5399999998,1.10577,100.0,0.0
7,6,3,6,2,1,2,2,0,4,0,4,1,3,3,1464468.8199999998,1.54491,90.0,0.0
6,7,4,7,2,0,2,2,0,3,1,0,3,1,0,1368682.5799999991,1.40321,90.0,0.0
6,5,4,5,1,1,0,1,0,3,0,4,0,4,1,1068541.0499999998,1.18494,100.0,0.0
4,6,3,3,1,1,1,2,0,0,2,3,0,2,3,741914.2000000002,0.698229,162.0,0.0
6,6,1,5,1,2,0,3,3,4,3,0,0,1,0,903181.1999999996,1.21049,96.0,0.0
5,5,1,2,0,2,0,3,4,3,2,1,4,2,3,651949.73,1.01172,137.0,0.0
4,5,1,5,0,2,2,2,3,3,0,0,1,0,4,558986.56,0.856931,150.0,0.0
7,7,1,2,1,1,0,0,0,1,0,2,0,3,2,1053026.7700000005,0.849867,153.0,0.777778
5,4,2,5,0,0,0,1,2,3,4,4,1,2,0,673057.7,0.999295,126.0,0.0
5,7,1,5,2,2,0,1,2,0,4,1,3,3,1,920141.2499999995,1.20514,110.0,0.0
4,7,3,3,0,2,2,2,4,3,2,2,2,1,0,850639.6800000002,0.938909,147.0,0.0
5,6,2,5,0,1,0,0,2,1,0,4,1,3,2,876982.0999999999,1.00933,120.0,0.0
5,5,3,5,0,1,2,4,0,4,1,2,2,2,2,887208.7899999997,1.15464,115.0,0.0
4,7,2,6,0,2,1,0,3,1,1,2,0,0,2,806690.5199999999,0.833853,140.0,0.0
6,7,2,2,0,1,1,3,1,2,1,1,1,0,3,1071569.1,1.09303,121.0,0.111111
5,5,4,7,2,0,2,1,3,1,3,1,0,2,4,966461.5899999997,1.09643,115.0,0.0
7,6,3,3,1,1,2,4,2,2,2,2,4,0,2,1344474.4899999998,1.50829,94.0,0.0
5,5,3,4,0,1,0,0,0,3,1,0,2,4,3,813917.83,1.05641,115.0,0.0
4,4,4,6,0,1,0,0,2,3,2,1,3,3,0,614735.16,0.80256,157.0,0.0
5,7,1,5,0,0,2,0,3,1,3,0,0,1,0,813477.7299999996,0.939337,117.0,0.0
7,6,3,6,2,0,0,1,2,2,3,4,1,1,1,1384733.2699999996,1.48092,90.0,0.0
7,5,3,4,1,0,0,4,2,4,1,2,3,0,3,1201825.8899999997,1.23295,100.0,0.0
4,4,3,7,0,1,0,0,2,1,4,3,1,0,1,593434.72,0.715442,161.0,0.0
6,7,3,6,1,0,1,0,4,2,4,3,4,3,4,1460674.7599999998,1.46416,90.0,0.0
4,4,4,4,2,1,2,1,0,2,4,4,3,0,0,624854.3999999999,0.768065,160.0,0.0
4,7,3,5,1,0,2,2,2,3,0,1,0,4,4,896884.5399999997,0.866365,141.0,0.0
6,5,2,6,1,0,1,3,1,0,0,4,2,3,2,982027.6399999998,1.1831,100.0,0.0
5,7,1,7,2,0,2,2,0,2,4,2,4,3,2,965050.5699999995,1.0815,110.0,0.0
6,6,3,3,0,1,0,0,0,3,3,3,1,2,2,1106703.0,1.23464,103.0,0.0
4,4,3,6,1,0,1,3,3,0,1,1,1,2,3,603573.64,0.781807,158.0,0.0
4,4,3,3,1,2,2,3,3,4,0,3,1,1,0,573124.44,0.734408,152.0,0.111111
5,5,1,3,2,2,0,0,2,0,3,2,2,4,0,659899.5700000001,1.15758,117.0,0.0
